,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Bina Yaş,Isıtma Tipi,Binanın Kat Sayısı
2728,1179000.0,denizli,50.0,1.0,2.0,7.0,Klimalı,3
2729,1070000.0,denizli,45.0,1.0,2.0,7.0,Klimalı,3
2730,1159000.0,denizli,50.0,1.0,2.0,7.0,Klimalı,5
2735,1350000.0,denizli,65.0,2.0,2.0,7.0,Kombi Doğalgaz,4
2744,975000.0,denizli,40.0,2.0,2.0,7.0,Klimalı,2
2757,1290000.0,denizli,45.0,2.0,2.0,13.0,Klimalı,2
2800,1200000.0,diyarbakir,55.0,2.0,2.0,7.0,Klimalı,5
2885,1120000.0,diyarbakir,55.0,1.0,2.0,7.0,Klimalı,3
2897,1370000.0,diyarbakir,75.0,1.0,2.0,7.0,Klimalı,4
2941,825000.0,diyarbakir,45.0,1.0,2.0,0.0,Klimalı,5
3009,825000.0,diyarbakir,45.0,1.0,2.0,0.0,Yerden Isıtma,2
3040,1190000.0,diyarbakir,60.0,1.0,2.0,0.0,Klimalı,4
3092,11900002.0,diyarbakir,55.0,1.0,2.0,0.0,Klimalı,6
3142,1290000.0,diyarbakir,60.0,1.0,2.0,7.0,Klimalı,3
3152,1270000.0,diyarbakir,73.0,1.0,2.0,7.0,Klimalı,6
3168,820000.0,diyarbakir,45.0,1.0,2.0,7.0,Klimalı,6
3201,840000.0,diyarbakir,50.0,2.0,2.0,13.0,Kombi Doğalgaz,4
3207,850000.0,diyarbakir,55.0,2.0,2.0,13.0,Klimalı,2
3237,1250000.0,diyarbakir,80.0,1.0,2.0,0.0,Klimalı,5
3261,370000.0,diyarbakir,45.0,1.0,2.0,13.0,Kombi Doğalgaz,3
3274,8150001.0,diyarbakir,75.0,1.0,2.0,13.0,Klimalı,2
3283,850000.0,diyarbakir,45.0,1.0,2.0,13.0,Kombi Doğalgaz,3
3307,8750005.0,eskisehir,50.0,1.0,2.0,7.0,Klimalı,2
3316,1500000.0,eskisehir,60.0,1.0,2.0,13.0,Klimalı,4
3323,1500000.0,eskisehir,55.0,2.0,2.0,0.0,Kombi Doğalgaz,4
3328,1300000.0,eskisehir,55.0,2.0,2.0,0.0,Klimalı,3
