,fiyat,sehir,metrekare,Bulunduğu Kat,Oda Sayısı,Tür,Isıtma Tipi,Bina Yaş,Binanın Kat Sayısı
228,2275000,adana,135,1,4,Konut,Kombi Doğalgaz,18,7
229,1480000,adana,80,4,3,Konut,Klimalı,0,4
230,2150000,adana,100,3,4,Konut,Kombi Doğalgaz,1,7
231,3350000,adana,155,4,4,Konut,Kombi Doğalgaz,0,12
232,2950000,adana,120,12,4,Konut,Kombi Doğalgaz,0,13
233,1670000,adana,140,9,4,Konut,Klimalı,18,10
234,2275000,adana,135,1,4,Konut,Kombi Doğalgaz,18,7
235,1480000,adana,80,4,3,Konut,Klimalı,0,4
236,2150000,adana,100,3,4,Konut,Kombi Doğalgaz,1,7
237,3350000,adana,155,4,4,Konut,Kombi Doğalgaz,0,12
238,3290000,adana,175,7,4,Konut,Kombi Doğalgaz,18,9
239,4500000,adana,110,2,3,Konut,Isıtma Yok,18,2
240,18000000,adana,100,,4,Konut,Isıtma Yok,13,1
241,3140000,adana,135,3,4,Konut,Kombi Doğalgaz,18,3
242,1190000,adana,100,2,3,Konut,Kombi Doğalgaz,3,3
243,1650000,adana,105,6,4,Konut,Kombi Doğalgaz,1,6
244,2990000,adana,160,3,4,Konut,Doğalgaz Sobalı,18,7
245,1540000,adana,85,8,3,Konut,Kombi Doğalgaz,1,11
246,3350000,adana,155,4,4,Konut,Kombi Doğalgaz,0,12
247,2600000,adana,100,2,3,Konut,Kombi Doğalgaz,3,7
248,1985000,adana,140,9,4,Konut,Kombi Doğalgaz,25,9
249,3400000,adana,120,4,4,Konut,Doğalgaz Sobalı,7,4
250,2070000,adana,100,1,4,Konut,Kombi Doğalgaz,1,13
251,8450000,adana,250,14,5,Konut,Merkezi Doğalgaz,18,15
252,3490000,adana,180,,5,Konut,Klimalı,7,1
253,7490000,adana,160,,5,Konut,Kombi Doğalgaz,0,2
254,2495000,adana,120,,4,Konut,Isıtma Yok,4,1
255,6900000,adana,190,7,5,Konut,Kombi Doğalgaz,7,14
256,2290000,adana,160,3,4,Konut,Kombi Doğalgaz,18,10
257,1050000,adana,40,8,2,Konut,Klimalı,0,11
258,2000000,adana,100,,6,Konut,Klimalı,25,2
259,1950000,adana,85,2,3,Konut,Kombi Doğalgaz,0,8
260,2050000,adana,90,6,3,Konut,Kat Kaloriferi,7,11
261,800000,adana,43,4,2,Konut,Isıtma Yok,0,11
262,1230000,adana,75,4,3,Konut,Isıtma Yok,13,6
263,2289000,adana,125,8,4,Konut,Kombi Doğalgaz,0,10
264,2250000,adana,90,,4,Konut,Sobalı,0,1
265,2290000,adana,140,3,4,Konut,Kombi Doğalgaz,18,10
266,3500000,adana,165,11,4,Konut,Kombi Doğalgaz,7,12
267,2725000,adana,110,9,4,Konut,Kombi Doğalgaz,7,14
268,5750000,adana,210,14,7,Konut,Kombi Doğalgaz,13,14
269,7495000,adana,120,5,4,Konut,Klimalı,4,5
270,1850000,adana,120,,6,Konut,Sobalı,7,2
271,5150000,adana,150,,5,Konut,Kat Kaloriferi,0,2
272,2200000,adana,130,4,4,Konut,Kombi Doğalgaz,13,10
273,2295000,adana,130,3,4,Konut,Klimalı,13,4
274,1820000,adana,135,1,4,Konut,Kombi Doğalgaz,18,8
275,1675000,adana,80,10,3,Konut,Klimalı,25,10
276,2900000,adana,125,5,4,Konut,Klimalı,7,11
277,3450000,adana,180,5,4,Konut,Kombi Doğalgaz,13,8
278,300000014,adana,130,6,4,Konut,Klimalı,13,8
279,24490001,adana,140,12,4,Konut,Kombi Doğalgaz,7,16
280,2800000,adana,190,3,4,Konut,Isıtma Yok,25,13
281,1530000,adana,75,1,3,Konut,Kombi Doğalgaz,4,2
282,7249000,adana,160,6,5,Konut,Kombi Doğalgaz,3,14
283,9500000,adana,150,,5,Konut,Klimalı,0,2
284,2980000,adana,120,11,4,Konut,Kombi Doğalgaz,0,14
285,5490000,adana,179,5,5,Konut,Kombi Doğalgaz,4,11
286,2200000,adana,70,2,3,Konut,Kombi Doğalgaz,0,4
287,2780000,adana,135,1,4,Konut,Kombi Doğalgaz,7,10
288,1950000,adana,85,2,3,Konut,Doğalgaz Sobalı,0,8
289,2499000,adana,150,,4,Konut,Sobalı,13,1
290,2400000,adana,107,7,4,Konut,Isıtma Yok,3,12
291,4350000,adana,110,,4,Konut,Klimalı,7,4
292,1270000,adana,100,4,3,Konut,Klimalı,25,4
293,1590000,adana,150,,3,Konut,Güneş Enerjisi,25,2
294,4200000,adana,125,9,4,Konut,Klimalı,0,9
295,2450000,adana,120,5,4,Konut,Klimalı,25,6
296,6000000,adana,160,5,5,Konut,Kombi Doğalgaz,0,8
297,6649000,adana,160,8,4,Konut,Kombi Doğalgaz,7,11
298,2880000,adana,118,15,4,Konut,Doğalgaz Sobalı,3,15
299,1200000,adana,90,1,3,Konut,Isıtma Yok,7,13
300,3499000,adana,145,8,4,Konut,Kombi Doğalgaz,18,10
301,1900000,adana,171,,5,Konut,Kombi Doğalgaz,0,2
302,935000,adana,92,,3,Konut,Merkezi Doğalgaz,0,2
303,11450000,adana,220,,5,Konut,Kombi Doğalgaz,0,3
304,2400000,adana,240,,6,Konut,Kombi Doğalgaz,0,2
305,9900000,adana,355,,5,Konut,Kombi Doğalgaz,0,3
306,1725000,adana,55,3,2,Konut,Klimalı,18,4
307,2289999,adana,135,3,4,Konut,Kombi Doğalgaz,18,11
308,1725000,adana,130,,4,Konut,Güneş Enerjisi,13,3
309,3650000,adana,110,2,3,Konut,Kombi Doğalgaz,25,6
310,2100000,adana,90,2,3,Konut,Kombi Doğalgaz,0,5
311,2700000,adana,106,,4,Konut,Sobalı,25,2
312,2450000,adana,120,,3,Konut,Isıtma Yok,7,1
313,3100000,adana,118,3,4,Konut,Kombi Doğalgaz,0,8
314,2350000,adana,90,5,3,Konut,Kombi Doğalgaz,,14
315,2090000,adana,130,6,4,Konut,Klimalı,13,8
316,4050000,adana,135,9,4,Konut,Kombi Doğalgaz,25,9
317,5500000,adana,250,,6,Konut,Kombi Doğalgaz,0,3
318,1700000,adana,92,3,3,Konut,Kombi Doğalgaz,4,15
319,1750000,adana,75,,2,Konut,Sobalı,4,1
320,1250000,adana,50,6,2,Konut,Klimalı,3,10
321,1470000,adana,87,5,3,Konut,Kombi Doğalgaz,4,12
322,2100000,adana,75,,3,Konut,Isıtma Yok,18,5
323,3600000,adana,140,2,5,Konut,Kombi Doğalgaz,7,15
324,2778000,adana,130,2,4,Konut,Kombi Doğalgaz,0,18
325,3375000,adana,145,3,4,Konut,Klimalı,25,10
326,3550000,adana,95,4,3,Konut,Kombi Doğalgaz,7,5
327,1350000,adana,85,3,3,Konut,Merkezi Doğalgaz,13,5
328,9500002,adana,35,1,2,Konut,Klimalı,3,12
329,2270000,adana,110,9,4,Konut,Kombi Doğalgaz,1,15
330,1649000,adana,110,2,4,Konut,Kombi Doğalgaz,,5
331,1250000,adana,90,1,3,Konut,Kombi Doğalgaz,0,5
332,1650000,adana,60,1,2,Konut,Klimalı,4,15
333,2320000,adana,130,2,4,Konut,Kombi Doğalgaz,25,9
334,2070000,adana,110,1,4,Konut,Kombi Doğalgaz,1,14
335,1500000,adana,90,10,3,Konut,Kat Kaloriferi,18,10
336,1570000,adana,80,10,3,Konut,Kombi Doğalgaz,4,14
337,1850000,adana,75,3,3,Konut,Kombi Doğalgaz,3,9
338,14500000,adana,480,,6,Konut,Yerden Isıtma,0,3
339,2390000,adana,120,7,4,Konut,Kombi Doğalgaz,7,12
340,1890000,adana,100,11,3,Konut,Kombi Doğalgaz,,11
341,1100000,adana,70,1,2,Konut,Kombi Doğalgaz,7,7
342,1650000,adana,70,,3,Konut,Klimalı,18,2
343,1690000,adana,80,3,3,Konut,Klimalı,4,6
344,1750000,adana,95,1,4,Konut,Kombi Doğalgaz,0,10
345,2000000,adana,120,3,4,Konut,Kombi Doğalgaz,0,10
346,1475000,adana,75,10,3,Konut,Kombi Doğalgaz,,13
347,2450000,adana,144,1,4,Konut,Kombi Doğalgaz,18,4
348,1500000,adana,75,2,3,Konut,Sobalı,25,2
349,3500000,adana,150,7,4,Konut,Doğalgaz Sobalı,25,8
350,2850000,adana,125,4,4,Konut,Klimalı,13,12
351,1690000,adana,70,2,3,Konut,Klimalı,7,6
352,2985000,adana,140,7,4,Konut,Kombi Doğalgaz,7,10
353,1150000,adana,50,5,2,Konut,Kombi Fueloil,4,11
354,1175000,adana,90,2,3,Konut,Kombi Doğalgaz,0,6
355,1450000,adana,115,7,4,Konut,Kombi Doğalgaz,,9
356,1650000,adana,90,2,3,Konut,Kombi Doğalgaz,4,9
357,2500000,adana,145,1,4,Konut,Kombi Doğalgaz,7,8
358,1350000,adana,120,1,4,Konut,Kombi Doğalgaz,7,6
359,975000,adana,55,4,2,Konut,Klimalı,3,8
360,2595000,adana,130,1,4,Konut,Klimalı,25,6
361,1440000,adana,105,2,4,Konut,Klimalı,4,8
362,790000,adana,45,2,2,Konut,Klimalı,0,8
363,1750000,adana,125,7,4,Konut,Klimalı,25,8
364,2680000,adana,140,1,4,Konut,Kombi Doğalgaz,18,10
365,2850000,adana,145,2,5,Konut,Kombi Doğalgaz,4,13
366,3995000,adana,170,13,5,Konut,Kombi Doğalgaz,4,15
367,2750000,adana,135,6,4,Konut,Kombi Doğalgaz,7,10
368,1930000,adana,120,1,4,Konut,Kombi Doğalgaz,,11
369,3499000,adana,200,8,4,Konut,Kombi Doğalgaz,13,9
370,1950000,adana,120,10,3,Konut,Kombi Doğalgaz,25,10
371,1595000,adana,70,1,3,Konut,Isıtma Yok,7,6
372,2250000,adana,85,7,3,Konut,Kombi Doğalgaz,0,8
373,950000,adana,75,1,3,Konut,Klimalı,,4
374,2250000,adana,55,7,3,Konut,Klimalı,0,8
375,2500000,adana,85,,3,Konut,Klimalı,1,4
376,1595000,adana,70,1,3,Konut,Klimalı,7,8
377,2395000,adana,110,3,3,Konut,Kombi Doğalgaz,25,4
378,2400000,adana,240,,6,Konut,Kombi Doğalgaz,0,2
